Epsilon,Wins,Losses,Draws
0.01,4968,3608,1424
0.02,4626,4188,1186
0.03,5099,3452,1449
0.04,4925,3359,1716
0.05,5406,3150,1444
0.06,5454,2979,1567
0.07,5338,3017,1645
0.08,5530,2697,1773
0.09,5459,2731,1810
0.1,5727,2836,1437
0.11,5555,2709,1736
0.12,5765,2660,1575
0.13,5808,2463,1729
0.14,5686,2571,1743
0.15,5945,2645,1410
0.16,5750,2584,1666
0.17,5531,2681,1788
0.18,5646,2756,1598
0.19,5620,2681,1699
0.2,5710,2637,1653
0.21,5808,2585,1607
0.22,5634,2751,1615
0.23,5617,2696,1687
0.24,5671,2727,1602
0.25,5595,2882,1523
0.26,5511,2708,1781
0.27,5562,2805,1633
0.28,5507,2877,1616
0.29,5493,2944,1563
0.3,5595,2766,1639
0.31,5509,2966,1525
0.32,5533,2969,1498
0.33,5448,2963,1589
0.34,5601,2910,1489
0.35,5567,2859,1574
0.36,5464,2938,1598
0.37,5320,3095,1585
0.38,5272,3091,1637
0.39,5353,3043,1604
0.4,5526,3002,1472
0.41,5327,3140,1533
0.42,5373,3148,1479
0.43,5412,3022,1566
0.44,5316,3110,1574
0.45,5141,3286,1573
0.46,5204,3313,1483
0.47,5323,3132,1545
0.48,5274,3280,1446
0.49,5229,3268,1503
0.5,5298,3200,1502
0.51,5265,3250,1485
0.52,5229,3329,1442
0.53,5127,3392,1481
0.54,5104,3460,1436
0.55,5135,3411,1454
0.56,5122,3409,1469
0.57,5127,3383,1490
0.58,5062,3490,1448
0.59,5046,3491,1463
0.6,5025,3479,1496
0.61,5115,3484,1401
0.62,4943,3637,1420
0.63,5010,3590,1400
0.64,5043,3552,1405
0.65,4999,3607,1394
0.66,4898,3661,1441
0.67,4816,3776,1408
0.68,4936,3716,1348
0.69,4949,3657,1394
0.7,4871,3756,1373
0.71,4968,3676,1356
0.72,4900,3759,1341
0.73,4905,3754,1341
0.74,4774,3801,1425
0.75,4822,3784,1394
0.76,4756,3836,1408
0.77,4752,3821,1427
0.78,4686,3979,1335
0.79,4781,3887,1332
0.8,4730,3875,1395
0.81,4607,4028,1365
0.82,4657,4024,1319
0.83,4706,3990,1304
0.84,4680,3966,1354
0.85,4594,4045,1361
0.86,4525,4158,1317
0.87,4526,4130,1344
0.88,4574,4013,1413
0.89,4515,4156,1329
0.9,4561,4147,1292
0.91,4525,4155,1320
0.92,4543,4143,1314
0.93,4425,4239,1336
0.94,4455,4214,1331
0.95,4423,4208,1369
0.96,4362,4317,1321
0.97,4443,4262,1295
0.98,4317,4351,1332
0.99,4270,4389,1341
