Epsilon,Wins,Losses,Draws,Win %
0.01,4797,4133,1070,0.4797
0.02,4918,4003,1079,0.4918
0.03,4921,3875,1204,0.4921
0.04,4762,4063,1175,0.4762
0.05,5500,3417,1083,0.55
0.06,5683,3186,1131,0.5683
0.07,5530,3317,1153,0.553
0.08,5661,3227,1112,0.5661
0.09,5862,3089,1049,0.5862
0.1,5478,3441,1081,0.5478
0.11,5559,3368,1073,0.5559
0.12,5930,2801,1269,0.593
0.13,5591,3192,1217,0.5591
0.14,5931,2893,1176,0.5931
0.15,5810,2985,1205,0.581
0.16,5724,3030,1246,0.5724
0.17,5809,3102,1089,0.5809
0.18,5935,2869,1196,0.5935
0.19,5741,3120,1139,0.5741
0.2,5717,3173,1110,0.5717
0.21,5720,3039,1241,0.572
0.22,5617,3145,1238,0.5617
0.23,5785,3084,1131,0.5785
0.24,5586,3284,1130,0.5586
0.25,5677,3070,1253,0.5677
0.26,5591,3189,1220,0.5591
0.27,5659,3149,1192,0.5659
0.28,5653,3104,1243,0.5653
0.29,5406,3338,1256,0.5406
0.3,5668,3137,1195,0.5668
0.31,5494,3258,1248,0.5494
0.32,5472,3303,1225,0.5472
0.33,5541,3278,1181,0.5541
0.34,5541,3318,1141,0.5541
0.35,5305,3472,1223,0.5305
0.36,5500,3271,1229,0.55
0.37,5348,3365,1287,0.5348
0.38,5397,3407,1196,0.5397
0.39,5391,3380,1229,0.5391
0.4,5349,3411,1240,0.5349
0.41,5336,3422,1242,0.5336
0.42,5266,3433,1301,0.5266
0.43,5208,3517,1275,0.5208
0.44,5201,3583,1216,0.5201
0.45,5225,3507,1268,0.5225
0.46,5265,3426,1309,0.5265
0.47,5109,3661,1230,0.5109
0.48,5214,3630,1156,0.5214
0.49,5086,3705,1209,0.5086
0.5,5099,3642,1259,0.5099
0.51,5131,3638,1231,0.5131
0.52,5040,3740,1220,0.504
0.53,5085,3630,1285,0.5085
0.54,4989,3703,1308,0.4989
0.55,5112,3705,1183,0.5112
0.56,5009,3792,1199,0.5009
0.57,5039,3762,1199,0.5039
0.58,4938,3814,1248,0.4938
0.59,4894,3847,1259,0.4894
0.6,4965,3783,1252,0.4965
0.61,4984,3782,1234,0.4984
0.62,4829,3887,1284,0.4829
0.63,4877,3917,1206,0.4877
0.64,4911,3848,1241,0.4911
0.65,4810,3945,1245,0.481
0.66,4895,3854,1251,0.4895
0.67,4870,3874,1256,0.487
0.68,4800,4011,1189,0.48
0.69,4830,3975,1195,0.483
0.7,4878,3917,1205,0.4878
0.71,4738,3960,1302,0.4738
0.72,4841,3992,1167,0.4841
0.73,4691,3994,1315,0.4691
0.74,4691,4030,1279,0.4691
0.75,4677,4034,1289,0.4677
0.76,4676,4083,1241,0.4676
0.77,4655,4084,1261,0.4655
0.78,4617,4120,1263,0.4617
0.79,4700,4011,1289,0.47
0.8,4517,4177,1306,0.4517
0.81,4599,4116,1285,0.4599
0.82,4639,4082,1279,0.4639
0.83,4500,4224,1276,0.45
0.84,4586,4139,1275,0.4586
0.85,4549,4149,1302,0.4549
0.86,4442,4227,1331,0.4442
0.87,4497,4234,1269,0.4497
0.88,4522,4189,1289,0.4522
0.89,4355,4368,1277,0.4355
0.9,4422,4330,1248,0.4422
0.91,4450,4297,1253,0.445
0.92,4537,4150,1313,0.4537
0.93,4444,4259,1297,0.4444
0.94,4421,4328,1251,0.4421
0.95,4482,4258,1260,0.4482
0.96,4332,4392,1276,0.4332
0.97,4393,4350,1257,0.4393
0.98,4470,4280,1250,0.447
0.99,4348,4360,1292,0.4348
