Epsilon,Win,Loss,Draw
0.01,567719,270637,161644
0.02,606668,241502,151830
0.03,627312,228170,144518
0.04,642054,220605,137341
0.05,655011,212518,132471
0.06,659397,210319,130284
0.07,667405,206624,125971
0.08,670496,205152,124352
0.09,678386,200911,120703
0.1,678633,201085,120282
0.11,676609,203937,119454
0.12,680415,202437,117148
0.13,680097,202919,116984
0.14,681469,202934,115597
0.15,679663,205083,115254
0.16,680201,205360,114439
0.17,680640,205267,114093
0.18,680711,206623,112666
0.19,680504,207649,111847
0.2,678873,209368,111759
0.21,680956,207894,111150
0.22,677178,211410,111412
0.23,676992,212016,110992
0.24,675138,213684,111178
0.25,674633,215176,110191
0.26,673771,215481,110748
0.27,670864,217925,111211
0.28,670875,219173,109952
0.29,669448,220464,110088
0.3,667203,222794,110003
0.31,664992,225222,109786
0.32,662071,226613,111316
0.33,660811,228388,110801
0.34,657885,230871,111244
0.35,655771,233298,110931
0.36,655547,233959,110494
0.37,651482,237099,111419
0.38,650561,237852,111587
0.39,647001,240389,112610
0.4,644621,242633,112746
0.41,642552,243865,113583
0.42,639632,246483,113885
0.43,637852,248061,114087
0.44,633663,251528,114809
0.45,632001,253166,114833
0.46,629779,254102,116119
0.47,627165,256726,116109
0.48,623725,258926,117349
0.49,621253,261048,117699
0.5,619510,262300,118190
0.51,614937,265790,119273
0.52,611857,268681,119462
0.53,609514,270412,120074
0.54,607401,272290,120309
0.55,604214,274109,121677
0.56,600366,276470,123164
0.57,597470,278840,123690
0.58,594782,281054,124164
0.59,592496,282984,124520
0.6,588579,285729,125692
0.61,585132,288514,126354
0.62,581868,290434,127698
0.63,579362,293338,127300
0.64,576792,294784,128424
0.65,572845,297329,129826
0.66,569729,299586,130685
0.67,566352,301814,131834
0.68,563242,304838,131920
0.69,560357,306767,132876
0.7,555910,309835,134255
0.71,552666,311700,135634
0.72,549380,315100,135520
0.73,545858,317301,136841
0.74,542312,319650,138038
0.75,537839,323103,139058
0.76,534709,325444,139847
0.77,530057,329136,140807
0.78,525520,332196,142284
0.79,523295,333599,143106
0.8,518187,336418,145395
0.81,513038,340696,146266
0.82,510122,342826,147052
0.83,505182,346183,148635
0.84,498662,350624,150714
0.85,496018,352423,151559
0.86,491618,354652,153730
0.87,486559,358682,154759
0.88,482291,361438,156271
0.89,475489,366329,158182
0.9,471463,368667,159870
0.91,466081,372488,161431
0.92,460571,376803,162626
0.93,454752,379955,165293
0.94,448520,384150,167330
0.95,442544,387286,170170
0.96,436137,392062,171801
0.97,429591,396135,174274
0.98,423420,400492,176088
0.99,416614,405220,178166
