Epsilon,SymmetricEqualityWin,SymmetricEqualityLoss,SymmetricEqualityDraw
0.01,758417,54798,186785
0.02,761297,52825,185878
0.03,759596,52778,187626
0.04,757147,56217,186636
0.05,756716,57518,185766
0.06,749891,59296,190813
0.07,751551,63075,185374
0.08,750408,65135,184457
0.09,745721,69306,184973
0.1,744795,71967,183238
0.11,738631,75558,185811
0.12,736038,78826,185136
0.13,734506,82506,182988
0.14,731256,85067,183677
0.15,725498,88852,185650
0.16,726208,91923,181869
0.17,722481,95798,181721
0.18,720601,98784,180615
0.19,715962,102254,181784
0.2,712652,106057,181291
0.21,709071,109739,181190
0.22,705952,113144,180904
0.23,702368,117205,180427
0.24,701871,120499,177630
0.25,696764,124434,178802
0.26,693485,127828,178687
0.27,692338,131633,176029
0.28,686418,135107,178475
0.29,686119,138370,175511
0.3,680340,142555,177105
0.31,679454,145216,175330
0.32,676442,150045,173513
0.33,671169,154002,174829
0.34,667458,158243,174299
0.35,665158,161222,173620
0.36,662733,165084,172183
0.37,657684,169248,173068
0.38,655336,172703,171961
0.39,651609,176751,171640
0.4,648449,180756,170795
0.41,646149,184119,169732
0.42,641748,188435,169817
0.43,637451,193133,169416
0.44,636125,195430,168445
0.45,633310,200014,166676
0.46,629010,203789,167201
0.47,626266,207362,166372
0.48,621976,211845,166179
0.49,620503,214848,164649
0.5,616011,219849,164140
0.51,613175,222784,164041
0.52,609222,228206,162572
0.53,605467,232066,162467
0.54,602936,235645,161419
0.55,599411,239783,160806
0.56,595632,244100,160268
0.57,591461,248212,160327
0.58,588534,253080,158386
0.59,585834,256373,157793
0.6,581834,260188,157978
0.61,578687,264236,157077
0.62,575971,268331,155698
0.63,572666,271668,155666
0.64,568464,276532,155004
0.65,565604,280604,153792
0.66,560183,286214,153603
0.67,557441,289941,152618
0.68,554033,293420,152547
0.69,551468,297886,150646
0.7,547099,302211,150690
0.71,544172,306243,149585
0.72,540073,310267,149660
0.73,536847,315472,147681
0.74,532075,320025,147900
0.75,529499,323299,147202
0.76,526025,327790,146185
0.77,522347,332596,145057
0.78,519048,337197,143755
0.79,515061,341687,143252
0.8,512109,344837,143054
0.81,508198,350106,141696
0.82,503981,354461,141558
0.83,500781,359151,140068
0.84,496797,363289,139914
0.85,493272,367382,139346
0.86,489264,371716,139020
0.87,485083,377080,137837
0.88,481771,381399,136830
0.89,478042,386225,135733
0.9,474187,390902,134911
0.91,470572,395377,134051
0.92,466256,400233,133511
0.93,463019,404659,132322
0.94,459403,409023,131574
0.95,455764,413077,131159
0.96,452371,417378,130251
0.97,447924,422646,129430
0.98,443478,427183,129339
0.99,440549,431936,127515
