Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,400219,442994,156787,257
0.01,779809,50849,169342,612
0.02,790401,47250,162349,623
0.03,789057,48600,162343,629
0.04,784063,50547,165390,632
0.05,785734,52142,162124,634
0.06,779604,54699,165697,635
0.07,784681,56031,159288,634
0.08,778536,59192,162272,632
0.09,773641,62544,163815,633
0.1,770874,66376,162750,635
0.11,768443,67986,163571,635
0.12,767044,71033,161923,635
0.13,763625,74675,161700,635
0.14,762255,77654,160091,635
0.15,757741,80999,161260,635
0.16,759577,83257,157166,635
0.17,756506,86963,156531,635
0.18,751111,91018,157871,635
0.19,749260,93833,156907,635
0.2,746858,97324,155818,635
0.21,741910,100759,157331,635
0.22,737899,104251,157850,635
0.23,733783,108058,158159,635
0.24,732970,111371,155659,635
0.25,727004,115160,157836,635
0.26,725643,118965,155392,635
0.27,721780,122394,155826,635
0.28,720335,126091,153574,635
0.29,714642,129770,155588,635
0.3,712070,133705,154225,635
0.31,710002,136993,153005,635
0.32,706920,140045,153035,635
0.33,701650,144513,153837,635
0.34,700204,149087,150709,635
0.35,696379,152219,151402,635
0.36,691524,156333,152143,635
0.37,687722,160544,151734,635
0.38,685774,163392,150834,635
0.39,682128,167586,150286,635
0.4,678228,171364,150408,635
0.41,674212,175278,150510,635
0.42,670805,179963,149232,635
0.43,666043,184256,149701,635
0.44,663784,187680,148536,635
0.45,659579,192214,148207,635
0.46,656227,195401,148372,635
0.47,653635,199410,146955,635
0.48,648504,203061,148435,635
0.49,646503,207829,145668,635
0.5,641733,212101,146166,635
0.51,638651,215888,145461,635
0.52,632774,221031,146195,635
0.53,630193,224756,145051,635
0.54,625540,228886,145574,635
0.55,623409,232744,143847,635
0.56,617834,237860,144306,635
0.57,613763,241732,144505,635
0.58,609415,246642,143943,635
0.59,605718,250621,143661,635
0.6,601578,255113,143309,635
0.61,597548,259839,142613,635
0.62,594223,263985,141792,635
0.63,590355,268180,141465,635
0.64,585905,272248,141847,635
0.65,581952,276647,141401,635
0.66,577597,280663,141740,635
0.67,573878,285189,140933,635
0.68,569611,289807,140582,635
0.69,566160,294582,139258,635
0.7,561905,298509,139586,635
0.71,557515,303966,138519,635
0.72,553559,308034,138407,635
0.73,549525,312290,138185,635
0.74,545450,317322,137228,635
0.75,541974,320868,137158,635
0.76,537706,325384,136910,635
0.77,533176,330704,136120,635
0.78,528895,335145,135960,635
0.79,524966,338926,136108,635
0.8,520784,344299,134917,635
0.81,516775,348143,135082,635
0.82,511766,353040,135194,635
0.83,507677,358180,134143,635
0.84,503468,363220,133312,635
0.85,500057,366141,133802,635
0.86,495254,371930,132816,635
0.87,490916,376764,132320,635
0.88,487196,380777,132027,635
0.89,483358,384914,131728,635
0.9,479437,389439,131124,635
0.91,473683,394905,131412,635
0.92,469873,399601,130526,635
0.93,466396,403998,129606,635
0.94,462413,408727,128860,635
0.95,457647,413354,128999,635
0.96,452289,418624,129087,635
0.97,449440,422221,128339,635
0.98,444247,427879,127874,635
0.99,440763,432103,127134,635
1.0,436052,436845,127103,633
