NumGames,NormalWin,NormalLoss,NormalDraw,NormalWinRate,LimitedActionsWin,LimitedActionsLoss,LimitedActionsDraw,LimitedActionsWinRate,SymmetricEqualityWin,SymmetricEqualityLoss,SymmetricEqualityDraw,SymmetricEqualityWinRate
10000,5507,3223,1270,0.5507,5270,3101,1629,0.527,4670,4696,634,0.467
20000,12234,5215,2551,0.6117,11755,4950,3295,0.58775,9564,9474,962,0.4782
30000,19359,6741,3900,0.6453,18422,6382,5196,0.6140666666666666,14348,14309,1343,0.4782666666666667
40000,26606,8143,5251,0.66515,25255,7642,7103,0.631375,19172,19092,1736,0.4793
50000,34105,9354,6541,0.6821,32158,8816,9026,0.64316,23995,23869,2136,0.4799
60000,41648,10496,7856,0.6941333333333334,39019,9997,10984,0.6503166666666667,28787,28684,2529,0.47978333333333334
70000,49210,11607,9183,0.703,45869,11160,12971,0.6552714285714286,33567,33496,2937,0.4795285714285714
80000,56796,12744,10460,0.70995,52824,12254,14922,0.6603,38265,38391,3344,0.4783125
90000,64434,13809,11757,0.7159333333333333,59734,13355,16911,0.6637111111111111,43045,43237,3718,0.4782777777777778
100000,71997,14974,13029,0.71997,66753,14391,18856,0.66753,47879,48015,4106,0.47879
110000,79699,15959,14342,0.7245363636363636,73767,15405,20828,0.6706090909090909,52723,52813,4464,0.4793
120000,87350,16996,15654,0.7279166666666667,80799,16432,22769,0.673325,57510,57678,4812,0.47925
130000,94987,18059,16954,0.7306692307692307,87685,17464,24851,0.6745,62337,62492,5171,0.4795153846153846
140000,102631,19091,18278,0.7330785714285715,94638,18540,26822,0.6759857142857143,67094,67364,5542,0.47924285714285714
150000,110306,20147,19547,0.7353733333333333,101537,19571,28892,0.6769133333333334,71923,72206,5871,0.47948666666666667
160000,118046,21152,20802,0.7377875,108469,20543,30988,0.67793125,76794,77003,6203,0.4799625
170000,125772,22171,22057,0.739835294117647,115533,21540,32927,0.6796058823529412,81698,81752,6550,0.48057647058823527
180000,133351,23210,23439,0.7408388888888889,122567,22521,34912,0.6809277777777778,86486,86597,6917,0.4804777777777778
190000,141028,24209,24763,0.7422526315789474,129615,23521,36864,0.6821842105263158,91267,91419,7314,0.48035263157894736
200000,148766,25159,26075,0.74383,136530,24531,38939,0.68265,96056,96261,7683,0.48028
210000,156526,26079,27395,0.7453619047619048,143533,25509,40958,0.6834904761904762,100894,101015,8091,0.48044761904761907
220000,164220,27069,28711,0.7464545454545455,150540,26483,42977,0.6842727272727273,105654,105867,8479,0.48024545454545453
230000,172014,28020,29966,0.7478869565217391,157538,27471,44991,0.6849478260869565,110462,110694,8844,0.4802695652173913
240000,179792,28941,31267,0.7491333333333333,164624,28416,46960,0.6859333333333333,115277,115508,9215,0.4803208333333333
250000,187512,29904,32584,0.750048,171666,29359,48975,0.686664,120035,120383,9582,0.48014
260000,195255,30841,33904,0.7509807692307693,178625,30351,51024,0.6870192307692308,124780,125270,9950,0.4799230769230769
270000,203066,31747,35187,0.7520962962962963,185702,31299,52999,0.6877851851851852,129652,130043,10305,0.4801925925925926
280000,210809,32678,36513,0.7528892857142857,192716,32307,54977,0.6882714285714285,134463,134853,10684,0.480225
290000,218570,33618,37812,0.7536896551724138,199654,33243,57103,0.6884620689655172,139378,139589,11033,0.48061379310344826
300000,226328,34550,39122,0.7544266666666667,206697,34193,59110,0.68899,144195,144426,11379,0.48065
310000,234054,35481,40465,0.7550129032258065,213711,35139,61150,0.6893903225806451,148979,149272,11749,0.4805774193548387
320000,241726,36431,41843,0.75539375,220806,36081,63113,0.69001875,153863,154036,12101,0.480821875
330000,249535,37368,43097,0.7561666666666667,227878,37026,65096,0.6905393939393939,158648,158898,12454,0.48075151515151515
340000,257307,38275,44418,0.7567852941176471,234956,37982,67062,0.6910470588235295,163540,163639,12821,0.481
350000,265026,39235,45739,0.7572171428571428,241974,38960,69066,0.6913542857142857,168408,168413,13179,0.4811657142857143
360000,272820,40146,47034,0.7578333333333334,249017,39897,71086,0.6917138888888889,173308,173158,13534,0.4814111111111111
370000,280531,41125,48344,0.7581918918918918,256043,40866,73091,0.6920081081081081,178176,177915,13909,0.48155675675675674
380000,288248,42051,49701,0.7585473684210526,263094,41819,75087,0.6923526315789473,183014,182712,14274,0.4816157894736842
390000,295991,42967,51042,0.758951282051282,270240,42755,77005,0.692923076923077,187851,187522,14627,0.4816692307692308
400000,303741,43847,52412,0.7593525,277327,43694,78979,0.6933175,192697,192319,14984,0.4817425
410000,311523,44726,53751,0.7598121951219512,284330,44635,81035,0.6934878048780487,197546,197103,15351,0.4818195121951219
420000,319295,45658,55047,0.7602261904761904,291447,45561,82992,0.6939214285714286,202327,201946,15727,0.48173095238095237
430000,327070,46564,56366,0.7606279069767442,298495,46473,85032,0.6941744186046511,207158,206740,16102,0.4817627906976744
440000,334877,47421,57702,0.7610840909090909,305577,47465,86958,0.6944931818181819,211893,211663,16444,0.481575
450000,342760,48285,58955,0.7616888888888889,312709,48373,88918,0.6949088888888889,216780,216425,16795,0.48173333333333335
460000,350587,49197,60216,0.7621456521739131,319743,49358,90899,0.6950934782608695,221582,221241,17177,0.4817
470000,358372,50087,61541,0.7624936170212766,326823,50304,92873,0.6953680851063829,226365,226069,17566,0.48162765957446807
480000,366201,50987,62812,0.76291875,333904,51218,94878,0.6956333333333333,231148,230916,17936,0.4815583333333333
490000,374031,51869,64100,0.7633285714285715,341025,52166,96809,0.6959693877551021,235950,235754,18296,0.48153061224489796
500000,381768,52798,65434,0.763536,348037,53130,98833,0.696074,240941,240393,18666,0.481882
