Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,508226,383647,108127,814
0.01,787364,87627,125009,3499
0.02,793386,77877,128737,3822
0.03,794849,77077,128074,4012
0.04,789833,79825,130342,4162
0.05,789202,81362,129436,4288
0.06,784396,84473,131131,4330
0.07,784434,85540,130026,4351
0.08,779726,89232,131042,4382
0.09,777737,91478,130785,4418
0.1,774863,94809,130328,4430
0.11,772691,95528,131781,4445
0.12,769199,98972,131829,4447
0.13,765399,102536,132065,4462
0.14,760278,106061,133661,4482
0.15,758343,108788,132869,4494
0.16,756432,110729,132839,4491
0.17,750189,114962,134849,4508
0.18,748085,117288,134627,4510
0.19,746356,120828,132816,4510
0.2,741862,123876,134262,4513
0.21,739464,126266,134270,4513
0.22,734687,130212,135101,4517
0.23,730488,133832,135680,4517
0.24,726896,137442,135662,4516
0.25,723890,140221,135889,4519
0.26,720024,143792,136184,4520
0.27,715952,147280,136768,4519
0.28,712510,150460,137030,4520
0.29,709759,153615,136626,4520
0.3,706129,156865,137006,4520
0.31,701399,161324,137277,4520
0.32,697979,164911,137110,4520
0.33,694309,168073,137618,4520
0.34,691667,171129,137204,4520
0.35,687411,175227,137362,4520
0.36,683881,178798,137321,4520
0.37,680346,182750,136904,4520
0.38,677048,185238,137714,4520
0.39,673094,189433,137473,4520
0.4,668731,192909,138360,4520
0.41,666192,196616,137192,4520
0.42,661927,200206,137867,4520
0.43,658321,203701,137978,4520
0.44,653813,207825,138362,4520
0.45,650242,211879,137879,4520
0.46,647353,214717,137930,4520
0.47,642965,218509,138526,4520
0.48,639647,222033,138320,4520
0.49,635856,225787,138357,4520
0.5,631326,230469,138205,4520
0.51,628170,234075,137755,4520
0.52,623464,238279,138257,4520
0.53,620792,241053,138155,4520
0.54,616701,245806,137493,4520
0.55,613881,249106,137013,4520
0.56,608765,253090,138145,4520
0.57,605062,257213,137725,4520
0.58,601925,260430,137645,4520
0.59,597750,265081,137169,4520
0.6,594121,268981,136898,4520
0.61,590172,272298,137530,4520
0.62,586534,276129,137337,4520
0.63,582933,280213,136854,4520
0.64,578620,285054,136326,4520
0.65,574725,288745,136530,4520
0.66,570326,293379,136295,4520
0.67,565917,296795,137288,4520
0.68,563673,299957,136370,4520
0.69,558505,305242,136253,4520
0.7,554558,309867,135575,4520
0.71,551616,312621,135763,4520
0.72,547663,316456,135881,4520
0.73,543607,320869,135524,4520
0.74,539882,325278,134840,4520
0.75,536395,328782,134823,4520
0.76,532151,332999,134850,4520
0.77,527681,338202,134117,4520
0.78,524619,341428,133953,4520
0.79,519454,345377,135169,4520
0.8,516687,349363,133950,4520
0.81,512630,354749,132621,4520
0.82,508940,357891,133169,4520
0.83,505392,361829,132779,4520
0.84,501685,366100,132215,4520
0.85,497064,371247,131689,4520
0.86,491504,376460,132036,4520
0.87,488968,379752,131280,4520
0.88,485078,384224,130698,4520
0.89,480318,388553,131129,4520
0.9,476886,392785,130329,4520
0.91,473237,396727,130036,4520
0.92,467418,401999,130583,4520
0.93,463582,406207,130211,4520
0.94,460841,410137,129022,4520
0.95,456156,414515,129329,4520
0.96,452709,418758,128533,4520
0.97,448784,423264,127952,4520
0.98,443874,429117,127009,4520
0.99,440626,431679,127695,4520
1.0,436510,436737,126753,4520
