Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0,4517,3858,1625,48170
0.01,3940,4191,1869,51447
0.02,4201,4134,1665,50488
0.03,4266,3991,1743,50564
0.04,4256,3970,1774,50888
0.05,4375,3921,1704,51533
0.06,4326,3920,1754,52354
0.07,4330,3975,1695,51763
0.08,4559,3804,1637,51783
0.09,4619,3789,1592,49754
0.1,4404,3942,1654,51765
0.11,4466,3804,1730,51598
0.12,4489,3877,1634,51618
0.13,4383,3896,1721,53795
0.14,4305,3866,1829,52506
0.15,4439,3891,1670,53978
0.16,4193,3984,1823,53059
0.17,4475,3855,1670,54151
0.18,4349,3967,1684,54186
0.19,4443,3862,1695,53212
0.2,4409,3890,1701,53804
0.21,4415,3902,1683,53574
0.22,4271,3994,1735,55240
0.23,4334,3852,1814,55466
0.24,4418,3842,1740,54994
0.25,4289,3879,1832,55052
0.26,4371,3874,1755,55498
0.27,4245,3993,1762,55972
0.28,4199,3974,1827,55890
0.29,4336,3898,1766,55084
0.3,4385,3907,1708,55716
0.31,4286,3903,1811,56214
0.32,4296,3887,1817,55392
0.33,4323,3936,1741,58053
0.34,4301,3903,1796,56565
0.35,4230,4037,1733,56085
0.36,4358,3953,1689,57016
0.37,4327,3845,1828,56999
0.38,4341,3882,1777,57104
0.39,4243,3953,1804,58335
0.4,4084,4110,1806,58201
0.41,4223,4080,1697,58294
0.42,4219,4011,1770,57361
0.43,4239,3994,1767,58105
0.44,4120,4102,1778,59065
0.45,4098,4034,1868,59325
0.46,4342,4003,1655,58458
0.47,4039,4080,1881,59613
0.48,4202,4065,1733,58203
0.49,4172,4097,1731,58543
0.5,4245,4027,1728,59437
0.51,4196,3984,1820,58975
0.52,4256,4004,1740,58612
0.53,4177,4149,1674,60323
0.54,4165,4004,1831,59631
0.55,4198,4015,1787,59728
0.56,4122,4061,1817,61023
0.57,4099,4130,1771,60674
0.58,4173,4029,1798,61145
0.59,4198,4010,1792,60774
0.6,4256,3956,1788,60424
0.61,4161,4092,1747,61542
0.62,4174,4062,1764,60672
0.63,4176,4045,1779,60623
0.64,4172,4011,1817,61149
0.65,4182,4013,1805,60687
0.66,4168,4112,1720,60889
0.67,4181,4056,1763,60830
0.68,4032,4110,1858,62276
0.69,4206,4005,1789,62027
0.7,4170,4027,1803,61327
0.71,4144,4056,1800,60484
0.72,4099,4037,1864,61591
0.73,4176,4038,1786,61128
0.74,4128,4084,1788,62355
0.75,4171,4057,1772,61968
0.76,4143,4075,1782,61672
0.77,4127,4038,1835,62549
0.78,4122,4107,1771,62001
0.79,4098,4108,1794,61842
0.8,4144,4071,1785,62448
0.81,4066,4185,1749,62953
0.82,4142,4085,1773,62348
0.83,4146,3987,1867,62449
0.84,4220,3971,1809,62779
0.85,4154,4117,1729,63886
0.86,4079,4181,1740,62798
0.87,4169,4036,1795,62692
0.88,4107,4044,1849,62920
0.89,4222,4062,1716,62484
0.9,4093,4135,1772,62774
0.91,4133,4065,1802,63549
0.92,4060,4161,1779,61643
0.93,4025,4132,1843,63113
0.94,4117,4058,1825,63534
0.95,4114,4122,1764,63370
0.96,4144,4081,1775,62770
0.97,4094,4140,1766,62757
0.98,4087,4135,1778,62946
0.99,4066,4113,1821,64417
1,4130,4065,1805,63052
