Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0.0,3876,4375,1749,80326
0.01,4398,3928,1674,82897
0.02,4489,3923,1588,81686
0.03,4587,3744,1669,83842
0.04,4613,3729,1658,84432
0.05,4628,3674,1698,81248
0.060000000000000005,4496,3698,1806,81691
0.07,4650,3704,1646,84834
0.08,4590,3738,1672,83485
0.09,4568,3741,1691,83056
0.09999999999999999,4639,3624,1737,83384
0.10999999999999999,4451,3844,1705,85666
0.11999999999999998,4581,3638,1781,84076
0.12999999999999998,4586,3773,1641,84194
0.13999999999999999,4425,3749,1826,85626
0.15,4442,3784,1774,87251
0.16,4612,3635,1753,86231
0.17,4540,3704,1756,85731
0.18000000000000002,4595,3642,1763,86904
0.19000000000000003,4759,3636,1605,86715
0.20000000000000004,4740,3683,1577,87074
0.21000000000000005,4485,3709,1806,89273
0.22000000000000006,4426,3833,1741,88201
0.23000000000000007,4792,3565,1643,87467
0.24000000000000007,4639,3655,1706,88464
0.25000000000000006,4646,3664,1690,88174
0.26000000000000006,4651,3710,1639,90428
0.2700000000000001,4623,3702,1675,90480
0.2800000000000001,4429,3795,1776,89874
0.2900000000000001,4523,3756,1721,92346
0.3000000000000001,4378,3930,1692,93942
0.3100000000000001,4510,3786,1704,93157
0.3200000000000001,4768,3589,1643,91219
0.3300000000000001,4571,3689,1740,92270
0.34000000000000014,4609,3769,1622,92992
0.35000000000000014,4529,3737,1734,94112
0.36000000000000015,4519,3729,1752,94443
0.37000000000000016,4436,3877,1687,94358
0.38000000000000017,4640,3678,1682,93765
0.3900000000000002,4643,3707,1650,93803
0.4000000000000002,4389,3908,1703,95163
0.4100000000000002,4404,3791,1805,96851
0.4200000000000002,4333,3954,1713,97500
0.4300000000000002,4375,3913,1712,97483
0.4400000000000002,4513,3780,1707,96176
0.45000000000000023,4439,3842,1719,96343
0.46000000000000024,4368,3894,1738,96651
0.47000000000000025,4527,3755,1718,96748
0.48000000000000026,4364,3940,1696,97193
0.49000000000000027,4353,3921,1726,98274
0.5000000000000002,4213,3990,1797,99266
0.5100000000000002,4426,3848,1726,98255
0.5200000000000002,4417,3916,1667,98921
0.5300000000000002,4345,3922,1733,98873
0.5400000000000003,4239,3962,1799,100355
0.5500000000000003,4225,3984,1791,99867
0.5600000000000003,4269,3957,1774,99959
0.5700000000000003,4266,4004,1730,100733
0.5800000000000003,4292,3970,1738,100212
0.5900000000000003,4224,3942,1834,101253
0.6000000000000003,4223,4059,1718,101977
0.6100000000000003,4280,3952,1768,101538
0.6200000000000003,4175,4041,1784,101439
0.6300000000000003,4297,3921,1782,102531
0.6400000000000003,4221,4050,1729,102791
0.6500000000000004,4247,3940,1813,102806
0.6600000000000004,4275,3988,1737,103104
0.6700000000000004,4319,3918,1763,102784
0.6800000000000004,4272,3988,1740,103263
0.6900000000000004,4219,3954,1827,102870
0.7000000000000004,4196,4010,1794,104133
0.7100000000000004,4245,3923,1832,104191
0.7200000000000004,4216,3983,1801,104117
0.7300000000000004,4301,3914,1785,105263
0.7400000000000004,4132,4063,1805,104583
0.7500000000000004,4178,4046,1776,104565
0.7600000000000005,4102,4135,1763,105392
0.7700000000000005,4286,3967,1747,105482
0.7800000000000005,4195,4043,1762,105382
0.7900000000000005,4155,3995,1850,105863
0.8000000000000005,4230,4015,1755,104823
0.8100000000000005,4209,4012,1779,105988
0.8200000000000005,4241,4006,1753,105832
0.8300000000000005,4185,4003,1812,105575
0.8400000000000005,4071,4119,1810,105677
0.8500000000000005,4087,4111,1802,106648
0.8600000000000005,4206,4051,1743,107093
0.8700000000000006,4213,4009,1778,106353
0.8800000000000006,4223,3967,1810,106713
0.8900000000000006,4136,4099,1765,107101
0.9000000000000006,4057,4083,1860,107810
0.9100000000000006,4159,4015,1826,106894
0.9200000000000006,4169,4038,1793,107340
0.9300000000000006,4097,4147,1756,108008
0.9400000000000006,4152,4067,1781,107537
0.9500000000000006,4090,4178,1732,106755
0.9600000000000006,3983,4215,1802,108193
0.9700000000000006,4124,4063,1813,107426
0.9800000000000006,4148,4054,1798,107111
0.9900000000000007,4102,4030,1868,107177
1.0,4096,4112,1792,108288
