Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0.0,69556,62839,27605,168191
0.01,67857,58372,33771,177951
0.02,69260,54787,35953,178761
0.03,70903,53489,35608,181400
0.04,72137,51874,35989,183407
0.05,74514,49437,36049,182813
0.060000000000000005,76555,48197,35248,185479
0.07,77558,47508,34934,187342
0.08,76039,47916,36045,188338
0.09,78620,46061,35319,187032
0.09999999999999999,78737,45541,35722,188551
0.10999999999999999,78379,46265,35356,192066
0.11999999999999998,79456,45781,34763,193479
0.12999999999999998,80025,45194,34781,193254
0.13999999999999999,80768,44491,34741,194776
0.15,78922,46360,34718,198200
0.16,79349,46460,34191,199096
0.17,80398,45342,34260,199495
0.18000000000000002,79996,46236,33768,202029
0.19000000000000003,79807,45415,34778,200856
0.20000000000000004,79721,46149,34130,203699
0.21000000000000005,80655,44952,34393,202355
0.22000000000000006,79753,46590,33657,206062
0.23000000000000007,79500,46968,33532,206765
0.24000000000000007,79599,46927,33474,208263
0.25000000000000006,80347,46310,33343,207508
0.26000000000000006,79910,46328,33762,209823
0.2700000000000001,79777,46300,33923,209182
0.2800000000000001,79263,46902,33835,212002
0.2900000000000001,78474,48476,33050,214437
0.3000000000000001,78537,48341,33122,215049
0.3100000000000001,78749,47888,33363,216422
0.3200000000000001,78841,48303,32856,216938
0.3300000000000001,78984,48065,32951,217393
0.34000000000000014,79211,48341,32448,218741
0.35000000000000014,77460,49383,33157,221082
0.36000000000000015,78009,49145,32846,221406
0.37000000000000016,77066,50461,32473,222000
0.38000000000000017,77297,50272,32431,224254
0.3900000000000002,77115,50715,32170,224684
0.4000000000000002,77416,50435,32149,224734
0.4100000000000002,77370,49904,32726,226043
0.4200000000000002,77843,49835,32322,226586
0.4300000000000002,76430,51315,32255,228955
0.4400000000000002,76213,51617,32170,229327
0.45000000000000023,76130,51821,32049,230697
0.46000000000000024,76773,50924,32303,230797
0.47000000000000025,76884,51271,31845,231565
0.48000000000000026,76136,51963,31901,233712
0.49000000000000027,75466,52824,31710,234703
0.5000000000000002,76415,52420,31165,234764
0.5100000000000002,75635,52992,31373,236129
0.5200000000000002,76149,52281,31570,236910
0.5300000000000002,75538,52856,31606,237911
0.5400000000000003,75135,53241,31624,238594
0.5500000000000003,74725,53423,31852,238971
0.5600000000000003,75688,53138,31174,239918
0.5700000000000003,73840,54492,31668,241923
0.5800000000000003,74558,54577,30865,241842
0.5900000000000003,74570,54395,31035,242770
0.6000000000000003,73748,55119,31133,243887
0.6100000000000003,74487,54911,30602,244318
0.6200000000000003,73883,54842,31275,245201
0.6300000000000003,73665,55004,31331,245747
0.6400000000000003,72860,56500,30640,247138
0.6500000000000004,73715,55773,30512,247232
0.6600000000000004,72541,56921,30538,248303
0.6700000000000004,73005,56294,30701,249313
0.6800000000000004,72315,56934,30751,250363
0.6900000000000004,71866,57519,30615,250899
0.7000000000000004,71728,57607,30665,251424
0.7100000000000004,72052,57416,30532,251751
0.7200000000000004,71724,57892,30384,252484
0.7300000000000004,71779,57979,30242,252929
0.7400000000000004,71463,58333,30204,254018
0.7500000000000004,71279,58628,30093,255048
0.7600000000000005,70913,58833,30254,255248
0.7700000000000005,71001,58822,30177,255924
0.7800000000000005,70483,59267,30250,256135
0.7900000000000005,70380,59457,30163,257069
0.8000000000000005,70233,59868,29899,257529
0.8100000000000005,69995,59620,30385,258056
0.8200000000000005,69920,60436,29644,258471
0.8300000000000005,69589,60555,29856,259247
0.8400000000000005,69611,60640,29749,259283
0.8500000000000005,69409,60822,29769,259609
0.8600000000000005,69269,61322,29409,260353
0.8700000000000006,68603,61569,29828,260423
0.8800000000000006,68673,61769,29558,260946
0.8900000000000006,68379,62149,29472,261168
0.9000000000000006,68301,62090,29609,261649
0.9100000000000006,67728,62714,29558,261566
0.9200000000000006,67509,63183,29308,262396
0.9300000000000006,67861,62859,29280,262384
0.9400000000000006,67048,63613,29339,262666
0.9500000000000006,66946,63893,29161,262748
0.9600000000000006,66377,64491,29132,263080
0.9700000000000006,66295,64578,29127,263261
0.9800000000000006,66486,64561,28953,263675
0.9900000000000007,66116,64931,28953,263389
1.0,65722,65521,28757,263766
