Epsilon,TicTacToeLimitedActionsWin,TicTacToeLimitedActionsLoss,TicTacToeLimitedActionsDraw,StatesInPolicy
0,454072,418643,127285,344
0.01,719200,78655,202145,1712
0.02,716821,77687,205492,1979
0.03,715259,78291,206450,2103
0.04,717044,81007,201949,2174
0.05,719218,83195,197587,2303
0.06,714930,87599,197471,2367
0.07,710778,89425,199797,2431
0.08,707048,91450,201502,2470
0.09,710422,94785,194793,2502
0.1,707683,99473,192844,2530
0.11,704937,101615,193448,2581
0.12,700364,105287,194349,2586
0.13,699354,108098,192548,2607
0.14,693756,112675,193569,2633
0.15,695028,115562,189410,2648
0.16,692460,118565,188975,2655
0.17,688128,122710,189162,2663
0.18,687331,125667,187002,2673
0.19,684604,130060,185336,2693
0.2,684390,132486,183124,2693
0.21,680272,136542,183186,2705
0.22,677969,139379,182652,2710
0.23,676634,142749,180617,2714
0.24,673257,146685,180058,2720
0.25,669855,150148,179997,2719
0.26,667950,154195,177855,2726
0.27,663360,158516,178124,2720
0.28,661820,161216,176964,2728
0.29,660797,164020,175183,2727
0.3,657953,168261,173786,2729
0.31,655131,171371,173498,2727
0.32,652262,175244,172494,2731
0.33,648057,178845,173098,2730
0.34,646281,182384,171335,2731
0.35,644751,186123,169126,2732
0.36,642267,189598,168135,2730
0.37,638431,192915,168654,2732
0.38,636685,196831,166484,2729
0.39,633886,200311,165803,2731
0.4,629473,204646,165881,2732
0.41,627453,207867,164680,2732
0.42,624882,211114,164004,2732
0.43,620074,215543,164383,2732
0.44,617977,218752,163271,2731
0.45,616220,222192,161588,2732
0.46,613542,225286,161172,2732
0.47,610296,229586,160118,2732
0.48,607192,232896,159912,2732
0.49,603864,237039,159097,2732
0.5,602424,239650,157926,2732
0.51,597596,244260,158144,2731
0.52,595379,246915,157706,2732
0.53,592837,251354,155809,2732
0.54,589766,254646,155588,2732
0.55,586407,258526,155067,2732
0.56,584009,262415,153576,2732
0.57,580172,266159,153669,2732
0.58,577361,269543,153096,2732
0.59,574915,273082,152003,2732
0.6,572100,276900,151000,2732
0.61,567743,280858,151399,2732
0.62,565757,283634,150609,2732
0.63,561869,288084,150047,2732
0.64,558435,291949,149616,2732
0.65,555854,295120,149026,2732
0.66,553674,298377,147949,2732
0.67,548914,303611,147475,2732
0.68,545907,306830,147263,2732
0.69,541956,311429,146615,2732
0.7,538975,314763,146262,2732
0.71,535079,319312,145609,2732
0.72,532707,321760,145533,2732
0.73,529924,325456,144620,2732
0.74,525413,330490,144097,2732
0.75,521470,334753,143777,2732
0.76,518561,338173,143266,2732
0.77,515657,341190,143153,2732
0.78,512581,345241,142178,2732
0.79,509137,349173,141690,2732
0.8,505399,353220,141381,2732
0.81,501742,357694,140564,2732
0.82,497841,361617,140542,2732
0.83,495277,365058,139665,2732
0.84,492068,368327,139605,2732
0.85,488535,372820,138645,2732
0.86,484636,377181,138183,2732
0.87,480087,381553,138360,2732
0.88,477328,384478,138194,2732
0.89,473566,389185,137249,2732
0.9,469388,393577,137035,2732
0.91,467558,396403,136039,2732
0.92,464313,400385,135302,2732
0.93,459228,405544,135228,2732
0.94,456084,409044,134872,2732
0.95,452235,413073,134692,2732
0.96,448696,417707,133597,2732
0.97,445384,420668,133948,2732
0.98,441738,424905,133357,2732
0.99,437990,429147,132863,2732
1.0,434409,433397,132194,2732
