Epsilon,TicTacToeLimitedActionsWin,TicTacToeLimitedActionsLoss,TicTacToeLimitedActionsDraw,StatesInPolicy
0,493303,345103,161594,235
2.00E-04,558602,316366,125032,1097
4.00E-04,579564,273400,147036,1333
6.00E-04,606148,222041,171811,1285
8.00E-04,631944,206371,161685,1349
0.001,616522,226125,157353,1372
0.0012,682544,129914,187542,1451
0.0014,637986,180369,181645,1525
0.0016,662508,149956,187536,1482
0.0018,668978,118145,212877,1574
0.002,682209,130341,187450,1553
0.0022,671550,128659,199791,1463
0.0024,678360,121660,199980,1617
0.0026,685330,128702,185968,1626
0.0028,695322,115102,189576,1553
0.003,706227,94410,199363,1554
0.0032,699118,98265,202617,1573
0.0034,695560,90181,214259,1531
0.0036,715665,82453,201882,1643
0.0038,708969,95226,195805,1605
0.004,709217,80963,209820,1602
0.0042,714125,81357,204518,1547
0.0044,717189,81299,201512,1620
0.0046,722174,73698,204128,1626
0.0048,716637,75021,208342,1658
0.005,723058,72118,204824,1628
