Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,4715,3878,1407,866
0.01,7306,454,2240,3604
0.02,7248,513,2239,3946
0.03,6978,521,2501,4118
0.04,7126,601,2273,4234
0.05,7320,580,2100,4281
0.06,7103,606,2291,4364
0.07,7050,664,2286,4404
0.08,7176,689,2135,4414
0.09,7241,722,2037,4443
0.1,7119,719,2162,4455
0.11,7063,721,2216,4466
0.12,7082,804,2114,4458
0.13,7026,843,2131,4493
0.14,6907,842,2251,4501
0.15,6932,878,2190,4496
0.16,7124,900,1976,4505
0.17,6900,1010,2090,4514
0.18,6900,1054,2046,4511
0.19,6803,1086,2111,4516
0.2,6901,1115,1984,4515
0.21,6903,1118,1979,4520
0.22,6919,1147,1934,4518
0.23,6791,1252,1957,4520
0.24,6738,1223,2039,4520
0.25,6806,1249,1945,4520
0.26,6733,1335,1932,4520
0.27,6725,1385,1890,4520
0.28,6755,1337,1908,4520
0.29,6772,1416,1812,4520
0.3,6653,1437,1910,4520
0.31,6595,1496,1909,4520
0.32,6663,1480,1857,4520
0.33,6553,1580,1867,4520
0.34,6508,1616,1876,4520
0.35,6574,1622,1804,4520
0.36,6505,1668,1827,4520
0.37,6492,1727,1781,4520
0.38,6540,1720,1740,4520
0.39,6513,1736,1751,4520
0.4,6521,1740,1739,4520
0.41,6388,1865,1747,4520
0.42,6455,1848,1697,4520
0.43,6332,1957,1711,4520
0.44,6258,2047,1695,4520
0.45,6332,1981,1687,4520
0.46,6291,2090,1619,4520
0.47,6263,2109,1628,4520
0.48,6205,2099,1696,4520
0.49,6168,2213,1619,4520
0.5,6072,2249,1679,4520
0.51,6121,2270,1609,4520
0.52,6090,2364,1546,4520
0.53,6144,2286,1570,4520
0.54,6103,2367,1530,4520
0.55,6019,2400,1581,4520
0.56,6039,2430,1531,4520
0.57,5915,2539,1546,4520
0.58,5877,2522,1601,4520
0.59,5829,2606,1565,4520
0.6,5845,2638,1517,4520
0.61,5792,2740,1468,4520
0.62,5826,2737,1437,4520
0.63,5808,2784,1408,4520
0.64,5783,2745,1472,4520
0.65,5703,2823,1474,4520
0.66,5655,2927,1418,4520
0.67,5614,2902,1484,4520
0.68,5511,2973,1516,4520
0.69,5639,2901,1460,4520
0.7,5523,3058,1419,4520
0.71,5609,2978,1413,4520
0.72,5399,3156,1445,4520
0.73,5559,3049,1392,4520
0.74,5292,3190,1518,4520
0.75,5309,3268,1423,4520
0.76,5314,3290,1396,4520
0.77,5329,3278,1393,4520
0.78,5261,3416,1323,4520
0.79,5179,3427,1394,4520
0.8,5173,3498,1329,4520
0.81,5151,3497,1352,4520
0.82,5029,3588,1383,4520
0.83,5005,3642,1353,4520
0.84,5037,3627,1336,4520
0.85,5024,3626,1350,4520
0.86,4885,3788,1327,4520
0.87,4853,3828,1319,4520
0.88,4877,3779,1344,4520
0.89,4842,3817,1341,4520
0.9,4755,3936,1309,4520
0.91,4694,3980,1326,4520
0.92,4805,3946,1249,4520
0.93,4726,3938,1336,4520
0.94,4622,3999,1379,4520
0.95,4578,4076,1346,4520
0.96,4465,4231,1304,4520
0.97,4496,4271,1233,4520
0.98,4316,4367,1317,4520
0.99,4487,4296,1217,4520
1,4397,4307,1296,4520
