Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,21018,22440,6542,821
0.01,24432,16428,9140,2335
0.02,27925,12851,9224,2703
0.03,29567,11420,9013,2899
0.04,30407,10072,9521,2913
0.05,30242,9977,9781,3142
0.06,30096,9608,10296,3148
0.07,31431,8812,9757,3274
0.08,31175,8613,10212,3368
0.09,31274,8235,10491,3436
0.1,30942,8778,10280,3540
0.11,31776,8615,9609,3580
0.12,30884,8612,10504,3601
0.13,31040,8774,10186,3679
0.14,30749,9001,10250,3743
0.15,30859,9253,9888,3775
0.16,30379,9113,10508,3797
0.17,30882,9389,9729,3907
0.18,31197,9179,9624,3900
0.19,31254,9563,9183,3966
0.2,30356,9901,9743,4038
0.21,30826,9693,9481,4010
0.22,30581,9860,9559,4066
0.23,30521,10148,9331,4049
0.24,30487,10194,9319,4068
0.25,29984,10443,9573,4177
0.26,29885,10809,9306,4187
0.27,29849,10811,9340,4225
0.28,29926,10971,9103,4204
0.29,29675,11064,9261,4239
0.3,29993,11095,8912,4283
0.31,29994,11076,8930,4276
0.32,29774,11412,8814,4291
0.33,29595,11699,8706,4319
0.34,29124,11622,9254,4331
0.35,29327,11751,8922,4332
0.36,29270,12111,8619,4338
0.37,29247,12054,8699,4405
0.38,29453,12230,8317,4371
0.39,29143,12275,8582,4382
0.4,28913,12661,8426,4417
0.41,29253,12561,8186,4414
0.42,28957,12931,8112,4409
0.43,28743,13056,8201,4444
0.44,28895,13196,7909,4438
0.45,28670,13254,8076,4461
0.46,28390,13518,8092,4454
0.47,28438,13684,7878,4463
0.48,28269,13675,8056,4454
0.49,27915,14112,7973,4486
0.5,28082,14150,7768,4472
0.51,28309,14005,7686,4476
0.52,27977,14424,7599,4493
0.53,27878,14402,7720,4494
0.54,27889,14616,7495,4488
0.55,27615,14783,7602,4496
0.56,27479,15140,7381,4496
0.57,27641,14999,7360,4502
0.58,27583,15129,7288,4505
0.59,27372,15463,7165,4505
0.6,27106,15567,7327,4507
0.61,27115,15630,7255,4515
0.62,26716,16112,7172,4514
0.63,26638,16217,7145,4513
0.64,26580,16228,7192,4516
0.65,26559,16445,6996,4516
0.66,26587,16253,7160,4516
0.67,26186,16785,7029,4517
0.68,26092,16956,6952,4518
0.69,26166,16911,6923,4519
0.7,25917,17106,6977,4518
0.71,25633,17457,6910,4518
0.72,25663,17431,6906,4520
0.73,25587,17721,6692,4519
0.74,25658,17749,6593,4519
0.75,25299,17812,6889,4520
0.76,25428,17807,6765,4520
0.77,25173,18065,6762,4520
0.78,24757,18433,6810,4519
0.79,24952,18458,6590,4520
0.8,24689,18620,6691,4519
0.81,24662,18770,6568,4520
0.82,24325,19176,6499,4520
0.83,24122,19232,6646,4520
0.84,24075,19257,6668,4520
0.85,24148,19352,6500,4520
0.86,23824,19529,6647,4520
0.87,23596,19896,6508,4520
0.88,23438,19952,6610,4520
0.89,23473,20207,6320,4520
0.9,23431,20241,6328,4520
0.91,23113,20441,6446,4520
0.92,23077,20624,6299,4520
0.93,22726,20800,6474,4520
0.94,22825,20819,6356,4520
0.95,22680,20899,6421,4520
0.96,22623,21011,6366,4520
0.97,22399,21315,6286,4520
0.98,22257,21395,6348,4520
0.99,21955,21675,6370,4520
1,21779,21824,6397,4520
