Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0.0,30307,39890,9803,812
0.01,43964,22886,13150,2508
0.02,48199,15544,16257,2841
0.03,50643,13385,15972,3054
0.04,50439,12437,17124,3147
0.05,50659,12180,17161,3347
0.060000000000000005,50707,12312,16981,3430
0.07,50721,12165,17114,3546
0.08,50030,12291,17679,3647
0.09,52203,11706,16091,3716
0.09999999999999999,50306,12166,17528,3759
0.10999999999999999,51204,12242,16554,3832
0.11999999999999998,51565,12164,16271,3904
0.12999999999999998,52027,12353,15620,3942
0.13999999999999999,50332,13467,16201,3906
0.15,52371,12626,15003,4014
0.16,50325,13290,16385,4056
0.17,50149,13703,16148,4070
0.18000000000000002,51503,13332,15165,4129
0.19000000000000003,50369,13667,15964,4145
0.20000000000000004,49959,14013,16028,4199
0.21000000000000005,50352,14147,15501,4196
0.22000000000000006,50659,14189,15152,4249
0.23000000000000007,49874,14648,15478,4307
0.24000000000000007,49598,14854,15548,4300
0.25000000000000006,50240,14958,14802,4305
0.26000000000000006,48726,15792,15482,4318
0.2700000000000001,49682,15118,15200,4325
0.2800000000000001,50051,15937,14012,4345
0.2900000000000001,49064,16080,14856,4392
0.3000000000000001,49116,15980,14904,4371
0.3100000000000001,49035,16632,14333,4400
0.3200000000000001,48243,17033,14724,4412
0.3300000000000001,48833,16890,14277,4418
0.34000000000000014,48412,17192,14396,4443
0.35000000000000014,48086,17465,14449,4442
0.36000000000000015,48521,17704,13775,4453
0.37000000000000016,48563,17752,13685,4452
0.38000000000000017,48065,18187,13748,4448
0.3900000000000002,47997,18543,13460,4466
0.4000000000000002,47960,18481,13559,4454
0.4100000000000002,47952,18463,13585,4488
0.4200000000000002,47457,19286,13257,4483
0.4300000000000002,48013,19205,12782,4491
0.4400000000000002,47473,19347,13180,4492
0.45000000000000023,47295,19559,13146,4497
0.46000000000000024,46896,20223,12881,4505
0.47000000000000025,46678,20100,13222,4503
0.48000000000000026,46602,20678,12720,4501
0.49000000000000027,46652,20646,12702,4509
0.5000000000000002,46507,20976,12517,4508
0.5100000000000002,46230,21306,12464,4515
0.5200000000000002,46218,21598,12184,4515
0.5300000000000002,46179,21778,12043,4517
0.5400000000000003,45623,21817,12560,4515
0.5500000000000003,45336,22481,12183,4515
0.5600000000000003,45202,22550,12248,4512
0.5700000000000003,44894,23230,11876,4516
0.5800000000000003,44918,23400,11682,4518
0.5900000000000003,44796,23365,11839,4519
0.6000000000000003,44460,23841,11699,4520
0.6100000000000003,44333,23894,11773,4520
0.6200000000000003,43788,24498,11714,4519
0.6300000000000003,43929,24565,11506,4520
0.6400000000000003,43800,24619,11581,4520
0.6500000000000004,43471,25010,11519,4520
0.6600000000000004,43533,25146,11321,4520
0.6700000000000004,42860,25727,11413,4520
0.6800000000000004,42863,25914,11223,4520
0.6900000000000004,42474,26272,11254,4520
0.7000000000000004,42143,26635,11222,4520
0.7100000000000004,42003,26938,11059,4520
0.7200000000000004,42123,26873,11004,4520
0.7300000000000004,41569,27216,11215,4520
0.7400000000000004,41686,27554,10760,4520
0.7500000000000004,41402,27583,11015,4520
0.7600000000000005,41055,28129,10816,4520
0.7700000000000005,40920,28406,10674,4520
0.7800000000000005,40460,28666,10874,4520
0.7900000000000005,40586,28948,10466,4520
0.8000000000000005,40129,29148,10723,4520
0.8100000000000005,40033,29429,10538,4520
0.8200000000000005,39871,29465,10664,4520
0.8300000000000005,39601,29954,10445,4520
0.8400000000000005,39318,30211,10471,4520
0.8500000000000005,39158,30410,10432,4520
0.8600000000000005,38781,30853,10366,4520
0.8700000000000006,38301,31321,10378,4520
0.8800000000000006,38046,31537,10417,4520
0.8900000000000006,38167,31594,10239,4520
0.9000000000000006,37842,32074,10084,4520
0.9100000000000006,37490,32282,10228,4520
0.9200000000000006,37206,32511,10283,4520
0.9300000000000006,36672,33025,10303,4520
0.9400000000000006,36829,32961,10210,4520
0.9500000000000006,36149,33700,10151,4520
0.9600000000000006,35900,33946,10154,4520
0.9700000000000006,35505,34248,10247,4520
0.9800000000000006,35466,34414,10120,4520
0.9900000000000007,35138,34648,10214,4520
1.0,34571,34981,10448,4520
