Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,518432,364431,117137,801
0.01,691196,76117,232687,3581
0.02,712195,67784,220021,3785
0.03,719593,67203,213204,4045
0.04,694874,72373,232753,4153
0.05,726383,72267,201350,4251
0.06,703864,74124,222012,4312
0.07,699982,76003,224015,4340
0.08,707565,79057,213378,4395
0.09,716342,80325,203333,4413
0.1,689520,87117,223363,4450
0.11,693758,89199,217043,4451
0.12,685700,90983,223317,4472
0.13,689646,95585,214769,4470
0.14,686934,95924,217142,4479
0.15,692993,100169,206838,4485
0.16,688057,103598,208345,4494
0.17,687511,106198,206291,4502
0.18,690043,107902,202055,4515
0.19,682174,113622,204204,4516
0.2,685349,117433,197218,4514
0.21,677341,119430,203229,4517
0.22,673306,123466,203228,4517
0.23,673756,127193,199051,4518
0.24,672050,131226,196724,4520
0.25,670030,135406,194564,4519
0.26,663041,139036,197923,4520
0.27,664031,139976,195993,4520
0.28,667183,143479,189338,4520
0.29,665218,146946,187836,4520
0.3,670099,149546,180355,4520
0.31,659622,154176,186202,4520
0.32,657097,157977,184926,4520
0.33,654667,161445,183888,4520
0.34,655342,164638,180020,4520
0.35,647869,168327,183804,4520
0.36,650041,172277,177682,4520
0.37,642524,176305,181171,4520
0.38,640472,180657,178871,4520
0.39,638252,185353,176395,4520
0.4,643172,185549,171279,4520
0.41,638733,190306,170961,4520
0.42,631027,194990,173983,4520
0.43,632041,197523,170436,4520
0.44,628883,202122,168995,4520
0.45,624523,206350,169127,4520
0.46,622932,209613,167455,4520
0.47,619516,213164,167320,4520
0.48,619777,217685,162538,4520
0.49,616597,221415,161988,4520
0.5,611418,224811,163771,4520
0.51,608010,229046,162944,4520
0.52,607119,232228,160653,4520
0.53,601700,237074,161226,4520
0.54,602050,239698,158252,4520
0.55,599947,244614,155439,4520
0.56,593820,248777,157403,4520
0.57,591031,252397,156572,4520
0.58,590981,255526,153493,4520
0.59,586557,260773,152670,4520
0.6,582729,264680,152591,4520
0.61,579111,268875,152014,4520
0.62,576746,272426,150828,4520
0.63,573054,275788,151158,4520
0.64,569389,282156,148455,4520
0.65,568231,286157,145612,4520
0.66,565003,289958,145039,4520
0.67,560963,293107,145930,4520
0.68,557640,297008,145352,4520
0.69,552841,302258,144901,4520
0.7,551168,306031,142801,4520
0.71,548309,309821,141870,4520
0.72,543489,315072,141439,4520
0.73,539439,318685,141876,4520
0.74,538434,322195,139371,4520
0.75,532978,326233,140789,4520
0.76,530192,330857,138951,4520
0.77,525454,335892,138654,4520
0.78,523001,340817,136182,4520
0.79,519444,343826,136730,4520
0.8,515086,348931,135983,4520
0.81,511863,351931,136206,4520
0.82,509051,355942,135007,4520
0.83,505237,360612,134151,4520
0.84,500850,364771,134379,4520
0.85,496244,369849,133907,4520
0.86,492415,374813,132772,4520
0.87,487765,379733,132502,4520
0.88,485673,382759,131568,4520
0.89,480918,388001,131081,4520
0.9,476880,392303,130817,4520
0.91,472500,397471,130029,4520
0.92,468953,401163,129884,4520
0.93,465766,404569,129665,4520
0.94,461360,409683,128957,4520
0.95,457519,414242,128239,4520
0.96,452778,418920,128302,4520
0.97,448624,423287,128089,4520
0.98,445971,426478,127551,4520
0.99,440496,431932,127572,4520
1,435484,437368,127148,4520
