Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,39941,47002,13057,227
0.01,73577,16251,10172,587
0.02,79062,10063,10875,587
0.03,80279,9441,10280,593
0.04,80331,8419,11250,610
0.05,80059,8773,11168,622
0.06,80478,8135,11387,628
0.07,80526,8424,11050,627
0.08,79892,8616,11492,631
0.09,79763,8735,11502,638
0.1,78826,9168,12006,636
0.11,78626,9585,11789,637
0.12,78271,9481,12248,639
0.13,78480,9580,11940,635
0.14,78552,9969,11479,639
0.15,77693,10456,11851,638
0.16,77559,10690,11751,637
0.17,77574,10687,11739,640
0.18,77427,10879,11694,640
0.19,76915,11195,11890,639
0.2,76318,11537,12145,639
0.21,75916,11750,12334,640
0.22,75549,12251,12200,640
0.23,75593,12341,12066,640
0.24,74856,12747,12397,640
0.25,74652,13069,12279,639
0.26,74748,13392,11860,640
0.27,74163,13657,12180,640
0.28,73329,14160,12511,640
0.29,73466,14326,12208,640
0.3,73265,14727,12008,640
0.31,72741,15227,12032,640
0.32,72294,15286,12420,640
0.33,71506,16029,12465,640
0.34,71534,16441,12025,640
0.35,70967,16482,12551,640
0.36,70807,16793,12400,640
0.37,70195,17513,12292,640
0.38,69906,17596,12498,640
0.39,69534,18045,12421,640
0.4,69218,18355,12427,640
0.41,68472,18834,12694,640
0.42,68328,19195,12477,640
0.43,67427,19722,12851,640
0.44,67307,20261,12432,640
0.45,66840,20414,12746,640
0.46,66434,20913,12653,640
0.47,65954,21152,12894,640
0.48,65479,21628,12893,640
0.49,65498,21917,12585,640
0.5,64959,22287,12754,640
0.51,64345,22835,12820,640
0.52,63982,23160,12858,640
0.53,63815,23471,12714,640
0.54,63410,24046,12544,640
0.55,62849,24376,12775,640
0.56,62566,24558,12876,640
0.57,62184,25175,12641,640
0.58,61876,25521,12603,640
0.59,61035,26114,12851,640
0.6,60926,26434,12640,640
0.61,60320,26801,12879,640
0.62,59966,27226,12808,640
0.63,59351,27889,12760,640
0.64,59254,28122,12624,640
0.65,58455,28713,12832,640
0.66,58256,29070,12674,640
0.67,57789,29382,12829,640
0.68,57218,29826,12956,640
0.69,57333,29942,12725,640
0.7,56769,30575,12656,640
0.71,55900,31163,12937,640
0.72,55760,31497,12743,640
0.73,55281,32041,12678,640
0.74,55121,32094,12785,640
0.75,54477,32748,12775,640
0.76,53817,33180,13003,640
0.77,53773,33446,12781,640
0.78,52706,34472,12822,640
0.79,52756,34444,12800,640
0.8,52488,34642,12870,640
0.81,52199,35055,12746,640
0.82,52082,35200,12718,640
0.83,50847,36452,12701,640
0.84,50534,36683,12783,640
0.85,50096,37183,12721,640
0.86,49733,37365,12902,640
0.87,49169,38038,12793,640
0.88,48685,38446,12869,640
0.89,48763,38528,12709,640
0.9,47779,39263,12958,640
0.91,47544,39638,12818,640
0.92,47236,40053,12711,640
0.93,46575,40557,12868,640
0.94,46324,40805,12871,640
0.95,45755,41600,12645,640
0.96,45315,42056,12629,640
0.97,44951,42151,12898,640
0.98,44632,42648,12720,640
0.99,43901,43323,12776,640
1,43568,43672,12760,640
