Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,431969,459988,108043,264
0.01,834242,49550,116208,614
0.02,837522,47181,115297,632
0.03,838937,49178,111885,636
0.04,834450,50611,114939,637
0.05,831847,53722,114431,639
0.06,830679,56420,112901,640
0.07,827290,58695,114015,640
0.08,820284,61446,118270,640
0.09,816905,65005,118090,640
0.1,814389,68131,117480,640
0.11,812495,70741,116764,639
0.12,808851,73773,117376,640
0.13,805704,77011,117285,640
0.14,799643,80105,120252,640
0.15,797525,83331,119144,640
0.16,795730,86798,117472,640
0.17,791705,90684,117611,640
0.18,785953,94390,119657,640
0.19,779728,98151,122121,640
0.2,777382,102375,120243,640
0.21,773772,104817,121411,640
0.22,770419,108223,121358,640
0.23,765805,111666,122529,640
0.24,764043,115577,120380,640
0.25,758219,119519,122262,640
0.26,755780,122987,121233,640
0.27,752704,126749,120547,640
0.28,743631,130934,125435,640
0.29,743508,134227,122265,640
0.3,738343,138962,122695,640
0.31,733118,142993,123889,640
0.32,731333,145687,122980,640
0.33,726156,149508,124336,640
0.34,721594,154849,123557,640
0.35,718955,157300,123745,640
0.36,714325,161387,124288,640
0.37,710986,164985,124029,640
0.38,703802,169749,126449,640
0.39,699363,174126,126511,640
0.4,697946,176167,125887,640
0.41,696239,180971,122790,640
0.42,687482,185731,126787,640
0.43,684108,189387,126505,640
0.44,679692,193808,126500,640
0.45,673571,198086,128343,640
0.46,668114,202058,129828,640
0.47,668824,205582,125594,640
0.48,663654,210517,125829,640
0.49,658048,213794,128158,640
0.5,654287,218403,127310,640
0.51,650018,221958,128024,640
0.52,647468,226125,126407,640
0.53,642161,230524,127315,640
0.54,637795,234964,127241,640
0.55,633970,239287,126743,640
0.56,626808,243955,129237,640
0.57,623963,247459,128578,640
0.58,619975,251346,128679,640
0.59,614949,256112,128939,640
0.6,611074,260434,128492,640
0.61,606378,265067,128555,640
0.62,602778,269145,128077,640
0.63,599636,272409,127955,640
0.64,595159,277181,127660,640
0.65,591115,280510,128375,640
0.66,586797,285809,127394,640
0.67,580562,291516,127922,640
0.68,578171,293613,128216,640
0.69,572068,299068,128864,640
0.7,569373,302253,128374,640
0.71,564534,307473,127993,640
0.72,560275,311007,128718,640
0.73,556502,316042,127456,640
0.74,550729,320332,128939,640
0.75,545086,325123,129791,640
0.76,541051,329921,129028,640
0.77,537104,333907,128989,640
0.78,530950,339385,129665,640
0.79,527006,343628,129366,640
0.8,523477,346975,129548,640
0.81,519114,352116,128770,640
0.82,515142,356161,128697,640
0.83,510971,360868,128161,640
0.84,507897,364641,127462,640
0.85,503172,368690,128138,640
0.86,498424,373528,128048,640
0.87,493405,377785,128810,640
0.88,489161,382769,128070,640
0.89,485401,387334,127265,640
0.9,479398,392182,128420,640
0.91,475856,396881,127263,640
0.92,472562,400035,127403,640
0.93,467414,404416,128170,640
0.94,462794,409146,128060,640
0.95,457677,414706,127617,640
0.96,454417,417950,127633,640
0.97,450035,423205,126760,640
0.98,445898,426655,127447,640
0.99,441047,432232,126721,640
1,436421,436760,126819,640
