NumGames,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
10000,3871,4069,2060,56882
20000,7374,8110,4516,97130
30000,10908,12008,7084,126946
40000,14538,15937,9525,150808
50000,18291,19627,12082,169047
60000,22107,23292,14601,183544
70000,25930,26925,17145,195021
80000,29895,30403,19702,204719
90000,33873,34000,22127,212877
100000,37906,37435,24659,219835
110000,42163,40770,27067,225568
120000,46341,44146,29513,230671
130000,50526,47481,31993,234922
140000,54784,50767,34449,238708
150000,59106,54002,36892,242053
160000,63405,57190,39405,244910
170000,67823,60349,41828,247482
180000,72337,63472,44191,249875
190000,76770,66605,46625,251928
200000,81393,69594,49013,253708
210000,85975,72664,51361,255376
220000,90689,75583,53728,256930
230000,95348,78574,56078,258347
240000,100021,81481,58498,259622
250000,104756,84430,60814,260811
260000,109581,87281,63138,261908
270000,114417,90204,65379,262951
280000,119321,93041,67638,263922
290000,124296,95843,69861,264843
300000,129184,98628,72188,265726
310000,134088,101354,74558,266533
320000,139214,103994,76792,267313
330000,144304,106693,79003,268017
340000,149503,109343,81154,268711
350000,154664,112032,83304,269337
360000,159877,114674,85449,269967
370000,165029,117221,87750,270576
380000,170363,119699,89938,271148
390000,175617,122264,92119,271697
400000,180912,124820,94268,272234
410000,186340,127336,96324,272757
420000,191722,129872,98406,273262
430000,197147,132332,100521,273786
440000,202628,134787,102585,274227
450000,208116,137265,104619,274690
460000,213693,139710,106597,275127
470000,219220,142170,108610,275565
480000,224893,144464,110643,275986
490000,230546,146780,112674,276359
500000,236196,149131,114673,276726
510000,241869,151450,116681,277095
520000,247634,153669,118697,277446
530000,253430,155937,120633,277788
540000,259249,158138,122613,278144
550000,264966,160439,124595,278461
560000,270782,162679,126539,278761
570000,276675,164870,128455,279109
580000,282594,166964,130442,279428
590000,288518,169106,132376,279758
600000,294528,171239,134233,280058
610000,300462,173394,136144,280343
620000,306423,175523,138054,280641
630000,312448,177598,139954,280924
640000,318426,179718,141856,281213
650000,324493,181805,143702,281484
660000,330587,183805,145608,281753
670000,336599,185917,147484,282024
680000,342714,187968,149318,282287
690000,348768,190030,151202,282524
700000,354871,192045,153084,282780
710000,361007,194078,154915,283000
720000,367145,196102,156753,283265
730000,373388,198018,158594,283520
740000,379597,199972,160431,283767
750000,385835,201962,162203,283999
760000,392097,203890,164013,284223
770000,398325,205805,165870,284456
780000,404568,207734,167698,284652
790000,410909,209594,169497,284853
800000,417290,211477,171233,285058
810000,423638,213317,173045,285262
820000,430064,215121,174815,285466
830000,436406,216964,176630,285681
840000,442759,218789,178452,285886
850000,449163,220617,180220,286082
860000,455646,222426,181928,286291
870000,462109,224195,183696,286466
880000,468495,226050,185455,286630
890000,474979,227810,187211,286822
900000,481419,229579,189002,287038
910000,487928,231342,190730,287215
920000,494307,233088,192605,287370
930000,500622,234959,194419,287537
940000,507143,236662,196195,287701
950000,513716,238395,197889,287866
960000,520306,240097,199597,287996
970000,526845,241828,201327,288157
980000,533424,243501,203075,288312
990000,540018,245184,204798,288472
1000000,546504,246878,206618,288609
