NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,644,356,0,447
2000,1337,663,0,488
3000,2040,960,0,500
4000,2758,1242,0,505
5000,3474,1526,0,506
6000,4189,1811,0,508
7000,4921,2079,0,508
8000,5645,2355,0,508
9000,6340,2660,0,509
10000,7057,2943,0,510
11000,7751,3249,0,510
12000,8466,3534,0,510
13000,9169,3831,0,510
14000,9859,4141,0,510
15000,10561,4439,0,510
16000,11257,4743,0,510
17000,11964,5036,0,511
18000,12660,5340,0,511
19000,13377,5623,0,511
20000,14102,5898,0,511
21000,14825,6175,0,511
22000,15547,6453,0,511
23000,16252,6748,0,511
24000,16970,7030,0,511
25000,17665,7335,0,511
26000,18362,7638,0,511
27000,19047,7953,0,511
28000,19732,8268,0,511
29000,20428,8572,0,511
30000,21139,8861,0,511
31000,21845,9155,0,511
32000,22550,9450,0,511
33000,23272,9728,0,511
34000,23974,10026,0,511
35000,24684,10316,0,511
36000,25398,10602,0,511
37000,26110,10890,0,511
38000,26820,11180,0,511
39000,27515,11485,0,511
40000,28239,11761,0,511
41000,28963,12037,0,511
42000,29637,12363,0,511
43000,30341,12659,0,511
44000,31035,12965,0,511
45000,31733,13267,0,511
46000,32447,13553,0,511
47000,33149,13851,0,511
48000,33849,14151,0,511
49000,34564,14436,0,511
50000,35285,14715,0,511
51000,35996,15004,0,511
52000,36694,15306,0,511
53000,37409,15591,0,511
54000,38111,15889,0,511
55000,38803,16197,0,511
56000,39507,16493,0,511
57000,40193,16807,0,511
58000,40915,17085,0,511
59000,41605,17395,0,511
60000,42325,17675,0,511
61000,43025,17975,0,511
62000,43722,18278,0,511
63000,44445,18555,0,511
64000,45146,18854,0,511
65000,45862,19138,0,511
66000,46566,19434,0,511
67000,47270,19730,0,511
68000,47976,20024,0,511
69000,48684,20316,0,511
70000,49397,20603,0,511
71000,50103,20897,0,511
72000,50809,21191,0,511
73000,51519,21481,0,511
74000,52243,21757,0,511
75000,52946,22054,0,511
76000,53662,22338,0,511
77000,54388,22612,0,511
78000,55076,22924,0,511
79000,55793,23207,0,511
80000,56477,23523,0,511
81000,57181,23819,0,511
82000,57898,24102,0,511
83000,58621,24379,0,511
84000,59335,24665,0,511
85000,60047,24953,0,511
86000,60757,25243,0,511
87000,61451,25549,0,511
88000,62154,25846,0,511
89000,62865,26135,0,511
90000,63569,26431,0,511
91000,64278,26722,0,511
92000,64980,27020,0,511
93000,65694,27306,0,511
94000,66387,27613,0,511
95000,67111,27889,0,511
96000,67794,28206,0,511
97000,68480,28520,0,511
98000,69208,28792,0,511
99000,69912,29088,0,511
100000,70632,29368,0,511
