NumGames,TicTacToeLimitedActionsWin,TicTacToeLimitedActionsLoss,TicTacToeLimitedActionsDraw,StatesInPolicy
10000,5642,2699,1659,1241
20000,12039,4352,3609,1429
30000,18854,5525,5621,1534
40000,25855,6487,7658,1601
50000,33000,7348,9652,1651
60000,40043,8141,11816,1690
70000,47308,8940,13752,1723
80000,54457,9720,15823,1749
90000,61636,10494,17870,1786
100000,68842,11230,19928,1801
110000,76038,11962,22000,1828
120000,83211,12711,24078,1844
130000,90387,13454,26159,1875
140000,97553,14216,28231,1885
150000,104728,14960,30312,1897
160000,111890,15728,32382,1918
170000,119085,16451,34464,1932
180000,126383,17165,36452,1953
190000,133658,17852,38490,1962
200000,140912,18550,40538,1972
210000,148009,19275,42716,1994
220000,155162,20047,44791,2021
230000,162452,20727,46821,2037
240000,169688,21444,48868,2049
250000,176934,22157,50909,2066
260000,184167,22827,53006,2074
270000,191347,23525,55128,2083
280000,198587,24160,57253,2096
290000,205770,24883,59347,2105
300000,213018,25594,61388,2116
310000,220283,26249,63468,2126
320000,227502,26923,65575,2131
330000,234810,27591,67599,2142
340000,241995,28252,69753,2152
350000,249204,28896,71900,2155
360000,256472,29588,73940,2166
370000,263770,30267,75963,2167
380000,271055,30935,78010,2170
390000,278361,31604,80035,2176
400000,285575,32272,82153,2190
410000,292835,32920,84245,2195
420000,300040,33610,86350,2201
430000,307327,34259,88414,2209
440000,314557,34939,90504,2210
450000,321802,35630,92568,2219
460000,329076,36299,94625,2230
470000,336360,36983,96657,2232
480000,343593,37668,98739,2240
490000,350856,38318,100826,2245
500000,358154,38981,102865,2246
510000,365447,39631,104922,2250
520000,372732,40286,106982,2257
530000,380029,40916,109055,2259
540000,387289,41555,111156,2267
550000,394506,42203,113291,2271
560000,401787,42828,115385,2272
570000,409056,43482,117462,2273
580000,416347,44153,119500,2277
590000,423567,44778,121655,2279
600000,430878,45442,123680,2283
610000,438144,46080,125776,2287
620000,445413,46724,127863,2288
630000,452721,47320,129959,2289
640000,460078,47922,132000,2291
650000,467375,48576,134049,2292
660000,474648,49215,136137,2295
670000,481935,49853,138212,2296
680000,489208,50473,140319,2299
690000,496453,51104,142443,2304
700000,503884,51733,144383,2305
710000,511197,52341,146462,2309
720000,518517,52956,148527,2313
730000,525806,53563,150631,2315
740000,533063,54236,152701,2316
750000,540375,54840,154785,2319
760000,547677,55471,156852,2324
770000,555000,56075,158925,2331
780000,562269,56678,161053,2337
790000,569637,57260,163103,2338
800000,576894,57879,165227,2340
810000,584192,58475,167333,2344
820000,591573,59093,169334,2346
830000,598923,59706,171371,2348
840000,606215,60336,173449,2348
850000,613571,60961,175468,2355
860000,620857,61572,177571,2357
870000,628191,62150,179659,2362
880000,635491,62778,181731,2365
890000,642808,63413,183779,2369
900000,650071,64048,185881,2369
910000,657385,64644,187971,2370
920000,664693,65287,190020,2371
930000,672028,65901,192071,2373
940000,679327,66522,194151,2376
950000,686706,67131,196163,2378
960000,694048,67708,198244,2378
970000,701389,68286,200325,2382
980000,708705,68898,202397,2384
990000,716077,69461,204462,2391
1000000,723369,70105,206526,2392
