NumGames,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
10000,4801,3883,1316,4032
20000,10092,7173,2735,4394
30000,15521,10260,4219,4478
40000,21018,13327,5655,4506
50000,26642,16249,7109,4515
60000,32247,19171,8582,4520
70000,37928,22059,10013,4520
80000,43583,24916,11501,4520
90000,49315,27711,12974,4520
100000,55030,30517,14453,4520
110000,60769,33266,15965,4520
120000,66387,36130,17483,4520
130000,72095,38927,18978,4520
140000,77817,41746,20437,4520
150000,83551,44517,21932,4520
160000,89218,47413,23369,4520
170000,95023,50164,24813,4520
180000,100702,52979,26319,4520
190000,106502,55735,27763,4520
200000,112244,58548,29208,4520
210000,118013,61329,30658,4520
220000,123656,64188,32156,4520
230000,129437,66933,33630,4520
240000,135193,69701,35106,4520
250000,140940,72418,36642,4520
260000,146646,75253,38101,4520
270000,152482,77966,39552,4520
280000,158215,80715,41070,4520
290000,163952,83450,42598,4520
300000,169716,86175,44109,4520
310000,175410,88982,45608,4520
320000,181119,91772,47109,4520
330000,186848,94547,48605,4520
340000,192603,97362,50035,4520
350000,198360,100103,51537,4520
360000,204123,102917,52960,4520
370000,209803,105727,54470,4520
380000,215493,108530,55977,4520
390000,221226,111337,57437,4520
400000,226898,114117,58985,4520
410000,232594,116912,60494,4520
420000,238327,119657,62016,4520
430000,244115,122386,63499,4520
440000,249894,125195,64911,4520
450000,255516,128068,66416,4520
460000,261184,130911,67905,4520
470000,266964,133667,69369,4520
480000,272751,136383,70866,4520
490000,278445,139255,72300,4520
500000,284138,142072,73790,4520
510000,289885,144873,75242,4520
520000,295649,147635,76716,4520
530000,301394,150446,78160,4520
540000,307090,153264,79646,4520
550000,312790,156109,81101,4520
560000,318523,158905,82572,4520
570000,324315,161645,84040,4520
580000,330080,164400,85520,4520
590000,335817,167178,87005,4520
600000,341425,169984,88591,4520
610000,347119,172834,90047,4520
620000,352813,175651,91536,4520
630000,358656,178373,92971,4520
640000,364497,181056,94447,4520
650000,370226,183815,95959,4520
660000,375891,186634,97475,4520
670000,381580,189434,98986,4520
680000,387313,192275,100412,4520
690000,393090,195026,101884,4520
700000,398830,197773,103397,4520
710000,404556,200543,104901,4520
720000,410232,203356,106412,4520
730000,415921,206133,107946,4520
740000,421719,208945,109336,4520
750000,427457,211723,110820,4520
760000,433203,214463,112334,4520
770000,438832,217304,113864,4520
780000,444473,220143,115384,4520
790000,450175,222945,116880,4520
800000,455940,225752,118308,4520
810000,461654,228533,119813,4520
820000,467466,231294,121240,4520
830000,473197,234149,122654,4520
840000,478923,236905,124172,4520
850000,484696,239658,125646,4520
860000,490366,242456,127178,4520
870000,496078,245261,128661,4520
880000,501797,248065,130138,4520
890000,507553,250851,131596,4520
900000,513306,253636,133058,4520
910000,518936,256419,134645,4520
920000,524719,259210,136071,4520
930000,530494,261990,137516,4520
940000,536243,264769,138988,4520
950000,541897,267589,140514,4520
960000,547674,270313,142013,4520
970000,553436,273082,143482,4520
980000,559233,275784,144983,4520
990000,564976,278555,146469,4520
1000000,570790,281316,147894,4520
