NumGames,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
10000,6468,2191,1341,626
20000,13480,3798,2722,636
30000,20465,5398,4137,636
40000,27487,6963,5550,636
50000,34517,8555,6928,636
60000,41575,10124,8301,636
70000,48613,11747,9640,636
80000,55627,13302,11071,636
90000,62674,14859,12467,636
100000,69705,16427,13868,636
110000,76688,18018,15294,636
120000,83836,19533,16631,636
130000,90887,21141,17972,636
140000,97992,22713,19295,636
150000,105053,24250,20697,636
160000,112142,25766,22092,636
170000,119269,27319,23412,636
180000,126420,28799,24781,636
190000,133473,30331,26196,636
200000,140554,31866,27580,636
210000,147645,33414,28941,636
220000,154758,34934,30308,636
230000,161824,36416,31760,636
240000,168974,37915,33111,636
250000,176143,39423,34434,636
260000,183241,40973,35786,636
270000,190399,42491,37110,636
280000,197523,44018,38459,636
290000,204620,45513,39867,636
300000,211730,47013,41257,636
310000,218924,48470,42606,636
320000,225982,50101,43917,636
330000,233128,51617,45255,636
340000,240229,53185,46586,636
350000,247425,54671,47904,636
360000,254463,56234,49303,636
370000,261581,57734,50685,636
380000,268714,59221,52065,636
390000,275883,60687,53430,636
400000,283054,62202,54744,636
410000,290133,63733,56134,636
420000,297222,65307,57471,636
430000,304384,66821,58795,636
440000,311465,68335,60200,636
450000,318487,69888,61625,636
460000,325581,71439,62980,636
470000,332708,72965,64327,636
480000,339758,74467,65775,636
490000,346765,76010,67225,636
500000,353972,77498,68530,636
510000,361173,78994,69833,636
520000,368265,80516,71219,636
530000,375311,82052,72637,636
540000,382418,83566,74016,636
550000,389540,85089,75371,636
560000,396656,86599,76745,636
570000,403812,88075,78113,636
580000,410914,89561,79525,636
590000,418038,91100,80862,636
600000,425167,92625,82208,636
610000,432246,94194,83560,636
620000,439353,95713,84934,636
630000,446548,97192,86260,636
640000,453628,98783,87589,636
650000,460754,100309,88937,636
660000,467833,101872,90295,636
670000,474998,103375,91627,636
680000,482095,104872,93033,636
690000,489277,106420,94303,636
700000,496280,108015,95705,636
710000,503286,109566,97148,636
720000,510462,111028,98510,636
730000,517579,112580,99841,636
740000,524734,114046,101220,636
750000,531816,115550,102634,636
760000,538924,117102,103974,636
770000,546035,118616,105349,636
780000,553133,120150,106717,636
790000,560243,121692,108065,636
800000,567332,123237,109431,636
810000,574473,124766,110761,636
820000,581663,126285,112052,636
830000,588703,127851,113446,636
840000,595777,129401,114822,636
850000,602849,130963,116188,636
860000,609967,132514,117519,636
870000,617060,134032,118908,636
880000,624204,135604,120192,636
890000,631313,137106,121581,636
900000,638458,138641,122901,636
910000,645479,140216,124305,636
920000,652493,141773,125734,636
930000,659681,143330,126989,636
940000,666775,144930,128295,636
950000,673893,146432,129675,636
960000,680987,147982,131031,636
970000,688113,149457,132430,636
980000,695247,150922,133831,636
990000,702410,152434,135156,636
1000000,709516,153996,136488,636
